company,emotion,modality,hedges_g,ci_low,ci_high,p_value
KMI,happy,audio,0.002716804995206967,-0.28886742324259795,0.29430103323301193,0.9853305469420268
KMI,happy,text,0.03882316604848798,-0.2527888913694898,0.3304352234664657,0.7933966872005542
KMI,neutral,audio,-0.06552578830569031,-0.35718953890985616,0.22613796229847558,0.6588000852267207
KMI,neutral,text,0.09370742799499913,-0.19803955469192236,0.38545441068192066,0.5261366197205343
KMI,surprise,audio,-0.027060769627267108,-0.31865844847072045,0.2645369092161862,0.8556536476640437
KMI,surprise,text,-0.26024495321575425,-0.5530830607914305,0.032593154359921994,0.08032142691015612
KMI,disgust,audio,0.2974169844076162,0.004196130324268743,0.5906378384909636,0.0469052988318905
KMI,disgust,text,-0.02226440063021955,-0.3138576897655696,0.2693288885051305,0.8806357194570582
KMI,anger,audio,-0.03132454147741063,-0.32292683929266086,0.26027775633783956,0.8338940324203498
KMI,anger,text,0.07500020707021714,-0.21668824050311952,0.3666886546435538,0.6120379347490112
KMI,sadness,audio,-0.040121568264729277,-0.3317355274649082,0.2514923909354496,0.7871009455576877
KMI,sadness,text,0.13634569956636383,-0.15558313646134242,0.4282745355940701,0.35823337971356584
KMI,fear,audio,0.056853560055286675,-0.23479050233609744,0.3484976224466708,0.7018888588892732
KMI,fear,text,-0.06866452902771017,-0.3603360927358682,0.22300703468044789,0.6430180278979278
AAPL,happy,audio,0.05695486597427413,-0.19438425937897208,0.30829399132752033,0.6477648432065253
AAPL,happy,text,-0.016669624971353766,-0.2679623945127946,0.23462314457008704,0.8958756636837193
AAPL,neutral,audio,-0.057398955649720355,-0.3087388746301634,0.1939409633307227,0.6516892073297549
AAPL,neutral,text,0.1860966570099714,-0.06573251546757314,0.43792582948751596,0.14127344362381503
AAPL,surprise,audio,0.2654538436437287,0.013066379193905298,0.5178413080935521,0.03994556070639324
AAPL,surprise,text,0.06699049491772115,-0.1843680685415539,0.3183490583769962,0.5997356865193704
AAPL,disgust,audio,-0.1436958173824179,-0.3953067905780788,0.10791515581324304,0.2681709933086788
AAPL,disgust,text,-0.1311550721235752,-0.38271223156035367,0.12040208731320329,0.293031619629584
AAPL,anger,audio,0.36426901065339434,0.11091498259021582,0.6176230387165729,0.005387275743803309
AAPL,anger,text,-0.1922958082317973,-0.44416156486998803,0.05956994840639343,0.12449496507289586
AAPL,sadness,audio,-0.28090428762231157,-0.5334230910330718,-0.028385484211551293,0.028731593472106742
AAPL,sadness,text,-0.3021413645647072,-0.5548526960283657,-0.04943003310104871,0.018102013062286215
AAPL,fear,audio,-0.25647237172688475,-0.5087868723513187,-0.00415787110245075,0.04617993870569309
