,path,company,year,quarter
2561,/home/aacastro/conferences_data/companies/ORLY/2021/Q3,ORLY,2021,Q3
2562,/home/aacastro/conferences_data/companies/ORLY/2020/Q4,ORLY,2020,Q4
2563,/home/aacastro/conferences_data/companies/ORLY/2020/Q3,ORLY,2020,Q3
2564,/home/aacastro/conferences_data/companies/ORLY/2022/Q4,ORLY,2022,Q4
2565,/home/aacastro/conferences_data/companies/ORLY/2022/Q2,ORLY,2022,Q2
2566,/home/aacastro/conferences_data/companies/ORLY/2022/Q1,ORLY,2022,Q1
2567,/home/aacastro/conferences_data/companies/ORLY/2022/Q3,ORLY,2022,Q3
2568,/home/aacastro/conferences_data/companies/MCK/2024/Q4,MCK,2024,Q4
2569,/home/aacastro/conferences_data/companies/MCK/2024/Q2,MCK,2024,Q2
2570,/home/aacastro/conferences_data/companies/MCK/2024/Q1,MCK,2024,Q1
2571,/home/aacastro/conferences_data/companies/MCK/2024/Q3,MCK,2024,Q3
2572,/home/aacastro/conferences_data/companies/MCK/2023/Q4,MCK,2023,Q4
2573,/home/aacastro/conferences_data/companies/MCK/2023/Q1,MCK,2023,Q1
2574,/home/aacastro/conferences_data/companies/MCK/2023/Q3,MCK,2023,Q3
2575,/home/aacastro/conferences_data/companies/MCK/2021/Q4,MCK,2021,Q4
2576,/home/aacastro/conferences_data/companies/MCK/2021/Q3,MCK,2021,Q3
2577,/home/aacastro/conferences_data/companies/MCK/2025/Q2,MCK,2025,Q2
2578,/home/aacastro/conferences_data/companies/MCK/2025/Q1,MCK,2025,Q1
2579,/home/aacastro/conferences_data/companies/MCK/2022/Q4,MCK,2022,Q4
2580,/home/aacastro/conferences_data/companies/MCK/2022/Q2,MCK,2022,Q2
2581,/home/aacastro/conferences_data/companies/MCK/2022/Q1,MCK,2022,Q1
2582,/home/aacastro/conferences_data/companies/MCK/2022/Q3,MCK,2022,Q3
2583,/home/aacastro/conferences_data/companies/WFC/2019/Q4,WFC,2019,Q4
2584,/home/aacastro/conferences_data/companies/WFC/2019/Q2,WFC,2019,Q2
2585,/home/aacastro/conferences_data/companies/WFC/2019/Q1,WFC,2019,Q1
2586,/home/aacastro/conferences_data/companies/WFC/2019/Q3,WFC,2019,Q3
2587,/home/aacastro/conferences_data/companies/WFC/2024/Q2,WFC,2024,Q2
2588,/home/aacastro/conferences_data/companies/WFC/2024/Q1,WFC,2024,Q1
2589,/home/aacastro/conferences_data/companies/WFC/2024/Q3,WFC,2024,Q3
2590,/home/aacastro/conferences_data/companies/WFC/2023/Q2,WFC,2023,Q2
